ADDRESS,AMOUNT,TAG
0x10fa0386dc01fae60bae35f96ced727f080c92f2872a45295ccd446e8a2c63,0.2308170375,
0x7b40b76d94cc23ee833c827270280114296f533cf4a9265b2996d390d1f0cec,0.229434885,
0x4f18ffc850cdfa223a530d7246d3c6fc12a5969e0aa5d4a88f470f5fe6c46e9,0.2291064312,
0x422d33a3638dcc4c62e72e1d6942cd31eb643ef596ccac2351e0e21f6cd4bf4,0.2240997095,Influence: Dispatcher
0x76f45e7b623c929d965a8977259ccc105b20c2de8e051c4659cba84f89bd969,0.2238861786,
0x35a2edc3e5b569c34b724c0a9f9d2fff9abe47590ab17f536a6586547edf4fb,0.2213899697,
0x1c0a36e26a8f822e0d81f20a5a562b16a8f8a3dfd99801367dd2aea8f1a87a2,0.2186543838,10KSwap: AMM Factory
0x16028e9358979b4a2bb447bcee4a1884cb9fb17ba127f257c2c039e7df91531,0.2070518832,
0x2a3c4db12911f4acc6480f45928c2858e6517ec77d15a9709bc727af5f26e1b,0.2043558481,
0x5f650c37f8a15e33f01b3c28365637ca72a536014c4b8f84271c20a4c24aef8,0.1957063265,
0x3a2fc8b0db9a9ef748227ef61ed254897cb40ad39575a9bde734dc78073f779,0.1949114045,
0x13e13b71de66832b5d22360579a225896c8ddb49631169b16e49c6e6b480288,0.1943899039,
0x5d1a2e0510c25cbf3c9a2be8fc528344573cb1ab770091deca2561f75f4e285,0.1901834155,
0x4db34f7bd203fd23dfbd74c566cc95db61eaf7ca56f37bb1f6314427090e924,0.1891494818,
0x5a81f79fb1179292fbd40ac0da3d22ee75eb6277c3f7f73aaedba33d6c31780,0.1870421881,
0x767a2d3bd42712a7b6fae0c4cbc6ef4265cb1a109cb09ab99484c336a088dad,0.1867064138,
0x414450cb2cb9f7e0b0abe41b24957215b14fc5c0ff09ae71de077fccff2f9f0,0.1861006571,
0x4d15040581b20b7682ad69db3c57fd0513fdc55639b8b406da3ddcd5ba39b8a,0.1778646926,
0x563898228a255c95822b256c480d27817cfcfeefa0cf20ed1be2bb48175e6d8,0.1709827968,
0x215d01e29721eb6ab10bbed2d15c33f168fa9e7587c071596cc72784bb74992,0.1699833386,
0x181db7dcc7d83251cbee2faed3d06f1447efd5fb82431d5688a0da880560245,0.1675245563,
0x453c4c996f1047d9370f824d68145bd5e7ce12d00437140ad02181e1d11dc83,0.1666616069,
0x27c8cb6bf861df8b86ebda8656430aeec9c1c2c66e9f99d3c8587df5fcb1c9c,0.165095822,
0x1283d9f872498556e11b48ec440d66ebe55c6624bc34b737ffb3939fc08203e,0.1634141922,
0x61d892cccf43daf73407194da9f0ea6dbece950bb24c50be2356444313a707,0.1618629898,Nostra: wBTC InterestBearing Token
0x364847c4f39b869760a8b213186b5b553127e9420e594075d13d1ce8a1d9157,0.160520507,Pyramid: NFT Marketplace
0x73cecf922b6776f129168a071617fb4470f4977f7e1dfbd88200e0b372714b5,0.1587025721,
